task,entity,accuracy,f1_macro,f1_weighted,precision,recall,f1,n_scored,ARI,BLEU,leak_rate,coverage
classification,-,0.9269102990033222,0.9268448961555458,0.9270265707327029,,,,,,,,
NER,names,,,,0.7923457906537251,0.8143176663699798,0.7954777776295934,149.0,,,,
NER,location,,,,0.7012986942857145,0.6277056217568544,0.6501236762397482,154.0,,,,
NER,dates,,,,0.7304347753043481,0.7086956451956524,0.7159420182946863,115.0,,,,
NER,age,,,,0.5925925866666669,0.5925925866666669,0.5925925837037038,27.0,,,,
clustering,-,,,,,,,,0.9083996796653327,,,
translation,-,,,,,,,,,,,
pseudonymization,-,,,,,,,,,,0.5116279069767442,0.4883720930232558
